"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"10CCCF7C-1447-1195-3E3A106F4313A94F","RED BOWL ASIAN BISTRO","2020 BOULDERSTONE WAY ","CARY","NC","27519","","","19193889977"
"10D20211-F51D-C965-289835667F477C67","MASSEY'S OLE TIMEY HOT DOGS","107 S FIRST AVE ","KNIGHTDALE","NC","27545","","",""
"11048","Bruegger's Bagel Bakery #721","222-117 GLENWOOD AVE ","RALEIGH","NC","27603","","","111111111111111"
"11162B11-B128-14FC-31E5CEB56293B170","WAFFLE HOUSE #1279","7605 KNIGHTDALE BLVD ","KNIGHTDALE","NC","27545","","","19192174112"
"11162B11-B128-14FC-31E5CEB56293B170","WAFFLE HOUSE #1279","7605 KNIGHTDALE BLVD ","KNIGHTDALE","NC","27545","","","19192174112"
"11207","Brooklyn Heights","605 Glenwood AVE ","RALEIGH","NC","27603","","","111111111111111"
"11533","Backfins Crabhouse","110 S White  ST ","WAKE FOREST","NC","27587","","","111111111111111"
"116E4598-726F-F167-A6BCA48C0D11F8A9","MCDONALD'S #27548","3494 KILDAIRE FARM RD ","CARY","NC","27518","","","19193639960"
"11752","US AIRWAYS CLUB","2400 TERMINAL BLVD ","RALEIGH","NC","27623","","","111111111111111"
"1176893F-1422-201B-193949F379F53725","Quizno's","648 Holly Springs RD ","HOLLY SPRINGS","NC","27540","","","111111111111111"
"118EAA48-8A96-11A0-B962115131B0B272","China Won","8109 Fayetteville RD ","RALEIGH","NC","27603","","","19196629799"
"11C40812-1060-9D6F-AE04129347F2A7D2","Umstead Hotel & Spa Food Service","100 Woodland Pond ","CARY","NC","27513","","","19194474000"
"1203FA0F-15C8-1394-17A014C9C61EB956","Chili's Grill and Bar #1183","6605 Knightdale BLVD ","KNIGHTDALE","NC","27545","","","19192610167"
"12181BF3-E7D2-14C8-0862573E7432ACC7","Mt Fuji","1311 E Broad ST ","FUQUAY VARINA","NC","27526","","","19195571888"
"121B4F3B-1289-AA2E-4A2513621F4F6FD8","Tangerine Cafe","2422 SW CaryPKWY","CARY","NC","27513","","","19194688688"
"10127DC9-0238-9FD7-DCABFDBB56041886","UNCORKED","105-111 SHADOWLAWN DR ","RALEIGH","NC","27614","","","111111119198"
"10526","Capital Cabaret","6713 Mt Herman  RD ","MORRISVILLE","NC","27560","","","111111111111111"
"10626B94-E736-E0A3-C0AAC0FC7FDC80D8","CAPPOLLA'S PIZZA & GRILL","2462 WALNUT ST ","CARY","NC","27518","","","19198547777"
"106E3C03-EFF1-EF8E-D1429DE4181BAB2F","Chick-fil-A #792","6701 FALLS OF NEUSE RD ","RALEIGH","NC","27615-5373","","","19198454556"
"10AAB7A0-568B-ED86-1C7A14F3077A78C9","Daly Cafe and Pub at Holiday Inn","930 Airport BLVD ","MORRISVILLE","NC","27560","","","19194651910"
"11080CC7-D654-1517-5E77B2CB01C523BF","THE CORNER TAVERN & GRILL","1303-03 NW MAYNARD RD ","CARY","NC","27513","","","1111111111919"
"110E1E5C-A811-A68A-34B211CA88A71F77","Arby's #7814","2601 Wake Forest RD ","RALEIGH","NC","27609","","","19198326885"
"110E1E5C-A811-A68A-34B211CA88A71F77","Arby's #7814","2601 Wake Forest RD ","RALEIGH","NC","27609","","","19198326885"
"11419","Los Tres Vaqueros #2","435 CHAPANOKE RD ","RALEIGH","NC","27603","","","111111111111111"
"116A52F7-1422-201B-19862EE247191797","Arby's #6335","1300 E 5th AVE ","GARNER","NC","27529","","","19196622241"
"116A52F7-1422-201B-19862EE247191797","Arby's #6335","1300 E 5th AVE ","GARNER","NC","27529","","","19196622241"
"116E4598-726F-F167-A6BCA48C0D11F8A9","MCDONALD'S #27548","3494 KILDAIRE FARM RD ","CARY","NC","27518","","","19193639960"
"11931AC8-6E33-A8E2-B902FFB96B7A6CE9","BACK 9 PUB","4220 NW CARY PKY ","CARY","NC","27513-8411","","","19194623550"
"11C40812-1060-9D6F-AE04129347F2A7D2","Umstead Hotel & Spa Food Service","100 Woodland Pond ","CARY","NC","27513","","","19194474000"
"11F12CBE-F016-1203-9B7713745444749C","ANDY'S BURGERS, SHAKES, & FRIES ","239 TIMBER DR ","GARNER","NC","27529","","","19197792111"
"11F12CBE-F016-1203-9B7713745444749C","ANDY'S BURGERS, SHAKES, & FRIES ","239 TIMBER DR ","GARNER","NC","27529","","","19197792111"
"11FC3AFA-C459-B41F-DF7EA001D48E0030","Smithfield Chicken & Bar-B-Que #95","3578 Davis DR ","MORRISVILLE","NC","27560","","","19194682607"
"12181BF3-E7D2-14C8-0862573E7432ACC7","Mt Fuji","1311 E Broad ST ","FUQUAY VARINA","NC","27526","","","19195571888"
"121B4F3B-1289-AA2E-4A2513621F4F6FD8","Tangerine Cafe","2422 SW CaryPKWY","CARY","NC","27513","","","19194688688"
"12306CA5-5E18-9A9C-845686BB2BA12119","Ralph's Grocery & Deli/Grill","2317 Eagle Rock RD ","WENDELL","NC","27591","","","19193662262"
"1232F0E3-5F90-F07F-45A9E7125C096F49","GYPSYS SHINY DINER","1550 BUCK JONES RD ","CARY","NC","27511","","","19194693663"
"1261A27C-74C9-58B7-FB57ABED4608E338","Panda Express #1352","1000 Beaver Creek Commons DR ","APEX","NC","27502","","","19193626369"
"126B09EF-76C5-14C1-0924154CCC9CC60A","DQ Grill and Chill #41609","5260 New Bern AVE ","RALEIGH","NC","27610","","","19197575617"
"1278E474-5BE8-6D81-E17BD3DD16826553","Lam's Garden Restaurant","1100-113 Raleigh BLVD ","RALEIGH","NC","27610","","","19198282118"
"1278E474-5BE8-6D81-E17BD3DD16826553","Lam's Garden Restaurant","1100-113 Raleigh BLVD ","RALEIGH","NC","27610","","","19198282118"
"12903B17-7644-F0F5-407914433970878E","Chick-fil-A #1963","8661 Six Forks RD ","RALEIGH","NC","27615","","","19198486715"
"12C14274-1670-122A-ED39C62237E611D7","Good Taste Chinese Restaurant","532 W Gannon AVE ","ZEBULON","NC","27597","","","19194041218"
"004B7CC3-9291-1A30-0887F2F9A7C9FEE5","Johnny's Pizza","1763 W Williams ST","APEX","NC","27523","","","111111111111111"
"011A703F-D8CE-C53D-62B3073DF4809ED4","GROCERY BOY JR","1912 W GARNER RD ","RALEIGH","NC","27529","","","19197725018"
"012DAC8C-F601-1833-85FAF965A9614205","SAMI'S SUBS & MORE","10924 LEESVILLE RD ","RALEIGH","NC","27613","","","19198484787"
